Noisy,Clean
"निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।","निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
निराश न हों माते श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे,"निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
निराश न हों माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।,"निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
"निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे","निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
"निराश न हों, माते श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।","निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
निराश न हों माते श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।,"निराश न हों, माते! श्रीराम दो माह में यहाँ अवश्य पहुँच जाएँगे।"
उसने अंततः हनुमान को बाँध लिया।,उसने अंततः हनुमान को बाँध लिया।
उसने अंततः हनुमान को बाँध लिया,उसने अंततः हनुमान को बाँध लिया।
सुग्रीव ने लक्ष्मण के साथ बैठकर युद्ध की योजना पर विचार किया।,सुग्रीव ने लक्ष्मण के साथ बैठकर युद्ध की योजना पर विचार किया।
सुग्रीव ने लक्ष्मण के साथ बैठकर युद्ध की योजना पर विचार किया,सुग्रीव ने लक्ष्मण के साथ बैठकर युद्ध की योजना पर विचार किया।
"सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई।","सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई।"
सेना किष्किंधा से दहाड़ती गरजती किलकारियाँ भरती रवाना हुई,"सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई।"
सेना किष्किंधा से दहाड़ती गरजती किलकारियाँ भरती रवाना हुई।,"सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई।"
"सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई","सेना किष्किंधा से दहाड़ती, गरजती, किलकारियाँ भरती रवाना हुई।"
वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।,वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।
वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ,वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।
वानरराज में लंका के राजा रावण का छोटा भाई हु,वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।
वानरराज मैं लंका के राजा रावण का छोटा भाई हूँ।,वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।
वानरराज मैं लंका के राजा रावण का छोटा भाई हूँ,वानरराज! मैं लंका के राजा रावण का छोटा भाई हूँ।
"कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए।","कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए।"
"कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए","कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए।"
कंपन प्रजंघ यूपाक्ष कुंभ मारे गए,"कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए।"
कंपन प्रजंघ यूपाक्ष कुंभ मारे गए।,"कंपन, प्रजंघ, यूपाक्ष, कुंभ मारे गए।"
"यह संभव नहीं है, मित्र!","यह संभव नहीं है, मित्र!"
यह संभव नहीं है मित्र,"यह संभव नहीं है, मित्र!"
यह संभव नहीं है मित्र!,"यह संभव नहीं है, मित्र!"
"यह संभव नहीं है, मित्र","यह संभव नहीं है, मित्र!"
"सीते! देखो, यह गोदावरी नदी है।","सीते! देखो, यह गोदावरी नदी है।"
"सीते देखो, यह गोदावरी नदी है।","सीते! देखो, यह गोदावरी नदी है।"
"सीते! देखो, यह गोदावरी नदी है","सीते! देखो, यह गोदावरी नदी है।"
सीते देखो यह गोदावरी नदी है,"सीते! देखो, यह गोदावरी नदी है।"
सीते! देखो यह गोदावरी नदी है।,"सीते! देखो, यह गोदावरी नदी है।"
सीते देखो यह गोदावरी नदी है।,"सीते! देखो, यह गोदावरी नदी है।"
"सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।","सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।"
"सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों","सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।"
सीता ने आँखें बंद कर लीं जैसे पंचवटी को पुनः देखने से डर रही हों।,"सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।"
सीता ने आँखें बंद कर लीं जैसे पंचवटी को पुन देखने से डर रही हों,"सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।"
सीता ने आँखें बंद कर लीं जैसे पंचवटी को पुनः देखने से डर रही हों,"सीता ने आँखें बंद कर लीं, जैसे पंचवटी को पुनः देखने से डर रही हों।"
"विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए।","विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए।"
विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा इसलिए वे क्रोध को पी गए,"विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए।"
"विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए","विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए।"
विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा इसलिए वे क्रोध को पी गए।,"विश्वामित्र जानते थे कि क्रोध करने से यज्ञ पूरा नहीं होगा, इसलिए वे क्रोध को पी गए।"
तुम्हें भी कभी-कभी गुस्सा आता होगा।,तुम्हें भी कभी-कभी गुस्सा आता होगा।
तुम्हें भी कभी कभी गुस्सा आता होगा।,तुम्हें भी कभी-कभी गुस्सा आता होगा।
तुम्हें भी कभी-कभी गुस्सा आता होगा,तुम्हें भी कभी-कभी गुस्सा आता होगा।
तुम्हें भी कभी कभी गुस्सा आता होगा,तुम्हें भी कभी-कभी गुस्सा आता होगा।
तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है?,तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है?
तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है,तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है?
तुम्हें कब कब गुस्सा आता है और उसका क्या परिणाम होता है?,तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है?
तुम्हें कब कब गुस्सा आता है और उसका क्या परिणाम होता है,तुम्हें कब-कब गुस्सा आता है और उसका क्या परिणाम होता है?
अतः पांडवों को अपने राज्य के लिए लड़ना पड़ा।,अतः पांडवों को अपने राज्य के लिए लड़ना पड़ा।
अतः पांडवों को अपने राज्य के लिए लड़ना पड़ा,अतः पांडवों को अपने राज्य के लिए लड़ना पड़ा।
अत पांडवों को अपने राज्य के लिए लड़ना पड़ा,अतः पांडवों को अपने राज्य के लिए लड़ना पड़ा।
"राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।","राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
राजन् आपकी पत्नी होना मुझे स्वीकार है पर इससे पहले आपको मेरी शर्तें माननी होंगी।,"राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
"राजन् आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।","राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
"राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी","राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
राजन्! आपकी पत्नी होना मुझे स्वीकार है पर इससे पहले आपको मेरी शर्तें माननी होंगी।,"राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
राजन् आपकी पत्नी होना मुझे स्वीकार है पर इससे पहले आपको मेरी शर्तें माननी होंगी,"राजन्! आपकी पत्नी होना मुझे स्वीकार है, पर इससे पहले आपको मेरी शर्तें माननी होंगी।"
"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?","आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं","आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
"आपके बाद हस्तिनापुर के राज सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?","आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा इस बात का आप मुझे वचन दे सकते हैं?,"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
आपके बाद हस्तिनापुर के राज सिंहासन पर मेरी लड़की का पुत्र बैठेगा इस बात का आप मुझे वचन दे सकते हैं,"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा इस बात का आप मुझे वचन दे सकते हैं,"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
आपके बाद हस्तिनापुर के राज सिंहासन पर मेरी लड़की का पुत्र बैठेगा इस बात का आप मुझे वचन दे सकते हे,"आपके बाद हस्तिनापुर के राज-सिंहासन पर मेरी लड़की का पुत्र बैठेगा, इस बात का आप मुझे वचन दे सकते हैं?"
गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।,गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।
गांधारी के लाल विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है,गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।
गांधारी के लाल विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।,गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।
गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है,गांधारी के लाल! विदुर बड़ा बुद्धिमान है और हमेशा हमारा भला चाहता आया है।
उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी।,उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी।
उसके रूप और गुणों की कीर्ति दूर दूर तक फैली हुई थी।,उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी।
उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी,उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी।
उसके रूप और गुणों की कीर्ति दूर दूर तक फैली हुई थी,उसके रूप और गुणों की कीर्ति दूर-दूर तक फैली हुई थी।
"कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।","कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।"
कुंती ने देखा कि महाराज को संतान-लालसा तो है लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते,"कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।"
"कुंती ने देखा कि महाराज को संतान लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।","कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।"
कुंती ने देखा कि महाराज को संतान लालसा तो है लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते,"कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।"
"कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते","कुंती ने देखा कि महाराज को संतान-लालसा तो है, लेकिन ऋषि के शापवश वह संतानोंत्पत्ति नहीं कर सकते।"
