Noisy,Clean
कल रात बहुत तेज बारिश हो रही थी और बिजली भी कड़क रही थी में खिड़की के पास बैठा था और सोच रहा था कि कल दफ्तर कैसे जाऊंगा सुबह होते ही धूप निकल आई और मौसम साफ हो गया,कल रात बहुत तेज बारिश हो रही थी और बिजली भी कड़क रही थी। मैं खिड़की के पास बैठा था और सोच रहा था कि कल दफ्तर कैसे जाऊँगा? सुबह होते ही धूप निकल आई और मौसम साफ हो गया।
क्या तुम मेरे साथ चलोगे मुझे बाज़ार से कुछ ज़रूरी सामान लेना है और माँ ने कहा है कि अकेले मत जाना रास्ता बहुत खराब है और भीड़ भी ज्यादा होगी,क्या तुम मेरे साथ चलोगे? मुझे बाज़ार से कुछ ज़रूरी सामान लेना है और माँ ने कहा है कि अकेले मत जाना। रास्ता बहुत खराब है और भीड़ भी ज्यादा होगी।
भाई आजकल तुम कहा रहते हो माँ पूछ रही थी कि क्या तुम ठीक हो और अगर तुम्हे पैसों की ज़रूरत हो तो बता देना में कल जब शहर आऊंगा तब हम मिलेंगे,"भाई! आजकल तुम कहाँ रहते हो? माँ पूछ रही थी कि क्या तुम ठीक हो और अगर तुम्हें पैसों की ज़रूरत हो तो बता देना। मैं कल जब शहर आऊँगा, तब हम मिलेंगे।"
में कल गाँव गया था वहा सब बहुत खुश थे और गाव की ताजी हवा और हरियाली देखकर मन प्रसन्न हो गया अब में वापस शहर आ गया हु पर मन वही लगा है,"मैं कल गाँव गया था। वहाँ सब बहुत खुश थे और गाँव की ताजी हवा और हरियाली देखकर मन प्रसन्न हो गया। अब मैं वापस शहर आ गया हूँ, पर मन वहीं लगा है।"
जल्दी करो ट्रेन छूट जाएगी फिर हम क्या करेंगे वहा पहुँचने में वैसे ही बहुत देर हो चुकी है और हमे समय पर प्रोग्राम में पहुचना है,"जल्दी करो! ट्रेन छूट जाएगी, फिर हम क्या करेंगे? वहाँ पहुँचने में वैसे ही बहुत देर हो चुकी है और हमें समय पर प्रोग्राम में पहुँचना है।"
में जानता हु कि तुम वहा नहीं जाना चाहते पर मा के लिए तुम्हे चलना पड़ेगा उन्होंने तुम्हे बहुत याद किया है और वो तुम्हारे लिए खाना बना रही हैं,"मैं जानता हूँ कि तुम वहाँ नहीं जाना चाहते, पर माँ के लिए तुम्हें चलना पड़ेगा। उन्होंने तुम्हें बहुत याद किया है और वह तुम्हारे लिए खाना बना रही हैं।"
में कल गाँव जाऊंगा मा वहा इंतज़ार कर रही होगी,मैं कल गाँव जाऊँगा। माँ वहाँ इंतज़ार कर रही होगी।
क्या तुम जानते हो कि वहा क्या हुआ में तो डर गया था,क्या तुम जानते हो कि वहाँ क्या हुआ? मैं तो डर गया था।
हमे सुख दुख और हार जीत को समान समझना चाहिए,हमें सुख-दुख और हार-जीत को समान समझना चाहिए।
मा ने पूछा कि क्या तुम मेरे साथ चलोगे में बाजार जा रही हु,माँ ने पूछा कि क्या तुम मेरे साथ चलोगे? मैं बाज़ार जा रही हूँ।
वहा कौन खड़ा है क्या तुम उसे जानते हो,वहाँ कौन खड़ा है? क्या तुम उसे जानते हो?
में धीरे धीरे चल रहा हु ताकि मा को पता न चले,"मैं धीरे-धीरे चल रहा हूँ, ताकि माँ को पता न चले।"
क्या तुमने खाना खाया है मा ने तुम्हारे लिए बनाया है,क्या तुमने खाना खाया है? माँ ने तुम्हारे लिए बनाया है।
में वहा जाऊंगा जहा मा ने जाने को कहा है,मैं वहाँ जाऊँगा जहाँ माँ ने जाने को कहा है।
रात दिन काम करने से ही सफलता मिलेगी क्या तुम तैयार हो,रात-दिन काम करने से ही सफलता मिलेगी। क्या तुम तैयार हो?
में जानता हु कि तुम नहीं जाना चाहते पर मा के लिए चलो,"मैं जानता हूँ कि तुम नहीं जाना चाहते, पर माँ के लिए चलो।"
क्या तुम मेरे साथ चलोगे मुझे वहा कुछ काम है,क्या तुम मेरे साथ चलोगे? मुझे वहाँ कुछ काम है।
में और मा कल शहर जाएंगे जहा बहुत भीड़ होगी,"मैं और माँ कल शहर जाएंगे, जहाँ बहुत भीड़ होगी।"
कहा लिखा है कि मा घर पर नहीं है क्या तुमने देखा,कहाँ लिखा है कि माँ घर पर नहीं है? क्या तुमने देखा?
में थक गया हु और अब में बस सोना चाहता हु,मैं थक गया हूँ और अब मैं बस सोना चाहता हूँ।
क्या तुम आओगे रास्ता साफ़ है और मा भी बुला रही है,क्या तुम आओगे? रास्ता साफ़ है और माँ भी बुला रही है।
में गाव जाउगा मा वहा अकेली है,मैं गाँव जाऊँगा। माँ वहाँ अकेली हैं।
कहा जा रहे हो जहा पानी भरा है,कहाँ जा रहे हो जहाँ पानी भरा है?
में जानता हु कि तुम वहा हो,मैं जानता हूँ कि तुम वहाँ हो।
मा ने कहा कि जहा धूप हो वहा मत बैठो,माँ ने कहा कि जहाँ धूप हो वहाँ मत बैठो।
में कल शहर जाउगा जहा बहुत काम है,"मैं कल शहर जाऊँगा, जहाँ बहुत काम है।"
क्या तुम जानते हो रास्ता कहा जाता है,क्या तुम जानते हो? रास्ता कहाँ जाता है।
भाई कहा जा रहे हो मा बुला रही है,भाई! कहाँ जा रहे हो? माँ बुला रही हैं।
क्या आप जानते है कल दफ्तर बंद है,क्या आप जानते हैं? कल दफ्तर बंद है।
में वहा जाउगा क्या तुम भी आओगे,मैं वहाँ जाऊँगा। क्या तुम भी आओगे?
क्या तुमने देखा मा रसोई में है,क्या तुमने देखा? माँ रसोई में हैं।
जीवन में सुख दुख तो लगा रहता है,जीवन में सुख-दुख तो लगा रहता है।
हमे सुख और दुख दोनों में धीरज रखना चाहिए,हमें सुख और दुख दोनों में धीरज रखना चाहिए।
यहा से आना जाना बहुत मुश्किल है,यहाँ से आना-जाना बहुत मुश्किल है।
यहा रोज आना और जाना पड़ता है,यहाँ रोज आना और जाना पड़ता है।
कभी कभी में सोचता हु कि सही गलत क्या है,कभी-कभी मैं सोचता हूँ कि सही-गलत क्या है।
सही और गलत के बीच की रेखा बहुत पतली है,सही और गलत के बीच की रेखा बहुत पतली है।
में कल बाज़ार गया था जहा बहुत भीड़ थी क्या तुम जानते हो वहा क्या हुआ में अपनी मा के साथ खड़ा था और अचानक एक आदमी आया और पूछने लगा कि रास्ता कहा जाता है में चुप रहा क्योंकि मा ने कहा था अनजानों से बात मत करो,मैं कल बाज़ार गया था जहाँ बहुत भीड़ थी। क्या तुम जानते हो वहाँ क्या हुआ? मैं अपनी माँ के साथ खड़ा था और अचानक एक आदमी आया और पूछने लगा कि रास्ता कहाँ जाता है। मैं चुप रहा क्योंकि माँ ने कहा था अनजानों से बात मत करो।
कल रात बहुत तेज बारिश हो रही थी और में खिड़की के पास बैठा था में सोच रहा था कि सही गलत का फैसला कैसे होता है जीवन में सुख दुख आते रहते है पर हमे हर बार बार वही गलती नहीं करनी चाहिए क्या तुम मेरी बात समझ रहे हो,"कल रात बहुत तेज बारिश हो रही थी और मैं खिड़की के पास बैठा था। मैं सोच रहा था कि सही-गलत का फैसला कैसे होता है? जीवन में सुख-दुख आते रहते हैं, पर हमें बार-बार वही गलती नहीं करनी चाहिए। क्या तुम मेरी बात समझ रहे हो?"
मा ने कहा कि जल्दी घर आना क्योंकि मेहमान आने वाले है मुझे बाज़ार में देर हो गई जहा बहुत भीड़ थी अब में सोच रहा हु कि मा को क्या जवाब दूंगा क्या तुम मेरे साथ चलकर सफाई दोगे,माँ ने कहा कि जल्दी घर आना क्योंकि मेहमान आने वाले हैं। मुझे बाज़ार में देर हो गई जहाँ बहुत भीड़ थी। अब मैं सोच रहा हूँ कि माँ को क्या जवाब दूँगा? क्या तुम मेरे साथ चलकर सफाई दोगे?
आज सुबह जब में उठा तो मौसम बहुत अच्छा था ठंडी हवा चल रही थी और में बगीचे में बैठा था वहा बहुत शांति थी पर अचानक शोर होने लगा और मेरा ध्यान टूट गया क्या तुम जानते हो वहा क्या हुआ था,"आज सुबह जब मैं उठा तो मौसम बहुत अच्छा था। ठंडी हवा चल रही थी और मैं बगीचे में बैठा था। वहाँ बहुत शांति थी, पर अचानक शोर होने लगा और मेरा ध्यान टूट गया। क्या तुम जानते हो वहाँ क्या हुआ था?"
भाई आजकल तुम कहा रहते हो मा पूछ रही थी कि क्या तुम ठीक हो अगर तुम्हे पैसो की ज़रूरत हो तो बता देना में कल शहर आउगा तब हम मिलेंगे और ढेर सारी बाते करेंगे,"भाई! आजकल तुम कहाँ रहते हो? माँ पूछ रही थी कि क्या तुम ठीक हो? अगर तुम्हें पैसों की ज़रूरत हो तो बता देना। मैं कल शहर जाऊँगा, तब हम मिलेंगे और ढेर सारी बातें करेंगे।"
क्या तुम जानते हो में कल कहा था मा को बहुत चिंता हो रही थी,क्या तुम जानते हो मैं कल कहाँ था? माँ को बहुत चिंता हो रही थी।
भाई क्या तुम मेरे साथ चलोगे मुझे बाज़ार से सामान लाना है,भाई! क्या तुम मेरे साथ चलोगे? मुझे बाज़ार से सामान लाना है।
में कल गाँव जाऊंगा क्या तुम भी वहा आओगे मा ने पूछा है,मैं कल गाँव जाऊँगा। क्या तुम भी वहाँ आओगे? माँ ने पूछा है।
सुख दुख तो जीवन का हिस्सा है पर हमे घबराना नहीं चाहिए,"सुख-दुख तो जीवन का हिस्सा हैं, पर हमें घबराना नहीं चाहिए।"
जीवन में सुख और दुख दोनों का अपना महत्व है,जीवन में सुख और दुख दोनों का अपना महत्व है।
क्या आप जानते है कि में कहा हु रास्ता बहुत सुनसान है,क्या आप जानते हैं कि मैं कहाँ हूँ? रास्ता बहुत सुनसान है।
में धीरे धीरे चल रहा हु ताकि कोई मुझे देख न ले,"मैं धीरे-धीरे चल रहा हूँ, ताकि कोई मुझे देख न ले।"
रात और दिन एक जैसा नहीं होता पर हमे काम करते रहना चाहिए,"रात और दिन एक जैसा नहीं होता, पर हमें काम करते रहना चाहिए।"
दिन रात मेहनत करने के बाद ही सफलता मिलती है,दिन-रात मेहनत करने के बाद ही सफलता मिलती है।
क्या तुमने देखा कि मा कहा गई में तो वहा खड़ा था,क्या तुमने देखा कि माँ कहाँ गईं? मैं तो वहाँ खड़ा था।
हम सभी को सही गलत का फर्क पता होना चाहिए है क्या तुम मेरी बात समझ रहे हो,हम सभी को सही-गलत का फर्क पता होना चाहिए है। क्या तुम मेरी बात समझ रहे हो?
सही और गलत के बीच का रास्ता बहुत मुश्किल होता है,सही और गलत के बीच का रास्ता बहुत मुश्किल होता है।
में जानता हु कि तुम वहा नहीं जाना चाहते पर मा के लिए चलो,"मैं जानता हूँ कि तुम वहाँ नहीं जाना चाहते, पर माँ के लिए चलो।"
क्या तुम जानते हो वहा क्या हुआ में तो डर गया था,क्या तुम जानते हो वहाँ क्या हुआ? मैं तो डर गया था।
बहन कहा हो तुम मा कब से तुम्हे ढूंढ रही है,बहन! कहाँ हो तुम? माँ कब से तुम्हें ढूँढ रही हैं।
आज सुबह जब में उठा तो मा ने कहा कि बाजार जाकर सब्जी ले आओ पर क्या तुम जानते हो वहा कितनी भीड़ थी में लाइन में खड़ा रहा और अब थक गया हु,"आज सुबह जब मैं उठा तो माँ ने कहा कि बाज़ार जाकर सब्जी ले आओ, पर क्या तुम जानते हो वहाँ कितनी भीड़ थी? मैं लाइन में खड़ा रहा और अब थक गया हूँ।"
क्या तुमने कभी सोचा है कि सुख दुख इंसान को क्या सिखाते है में अक्सर खिड़की के पास बैठकर यही सोचता हु कि जीवन में सही गलत कुछ नहीं होता बस समय की बात है,"क्या तुमने कभी सोचा है कि सुख-दुख इंसान को क्या सिखाते हैं? मैं अक्सर खिड़की के पास बैठकर यही सोचता हूँ कि जीवन में सही-गलत कुछ नहीं होता, बस समय की बात है।"
क्या तुम जानते हो कि में वहा क्यों गया था मा ने मुझे काम से भेजा था,क्या तुम जानते हो कि मैं वहाँ क्यों गया था? माँ ने मुझे काम से भेजा था।
भाई जल्दी आओ मा कब से तुम्हारा इंतज़ार कर रही है क्या तुम रास्ते में हो,"भाई! जल्दी आओ, माँ कब से तुम्हारा इंतज़ार कर रही हैं। क्या तुम रास्ते में हो?"
में खिड़की के पास खड़ा था और सोच रहा था कि क्या तुम आओगे पर तुम नहीं आए,मैं खिड़की के पास खड़ा था और सोच रहा था कि क्या तुम आओगे? पर तुम नहीं आए।
सुख दुख और आना जाना तो लगा रहता है हमे बस आगे बढ़ते रहना चाहिए,"सुख-दुख और आना-जाना तो लगा रहता है, हमें बस आगे बढ़ते रहना चाहिए।"
क्या तुमने मा से पूछा कि खाना कहा रखा है में बहुत भूखा हु,क्या तुमने माँ से पूछा कि खाना कहाँ रखा है? मैं बहुत भूखा हूँ।
में वहा तुम्हारे लिए रुका था पर तुम बहुत देर से आए क्या सब ठीक है,"मैं वहाँ तुम्हारे लिए रुका था, पर तुम बहुत देर से आए। क्या सब ठीक है?"
धीरे धीरे चलने से मंजिल मिल ही जाएगी बस हमे हार जीत की चिंता नहीं करनी चाहिए,धीरे-धीरे चलने से मंजिल मिल ही जाएगी। बस हमें हार-जीत की चिंता नहीं करनी चाहिए।
क्या आप जानते है कि में कहा जा रहा हु मा ने मुझे बाज़ार भेजा है,क्या आप जानते हैं कि मैं कहाँ जा रहा हूँ? माँ ने मुझे बाज़ार भेजा है।
मैं जानता हूँ कि सही-गलत का फैसला करना मुश्किल है हमें कोशिश करनी ही चाहिए।,मैं जानता हूँ कि सही-गलत का फैसला करना मुश्किल है। हमें कोशिश करनी ही चाहिए।
क्या तुमने देखा है कि मा कहा गई है में तो वहा उनके साथ ही खड़ा था,क्या तुमने देखा है कि माँ कहाँ गई हैं? मैं तो वहाँ उनके साथ ही खड़ा था।
में कल गाँव जाउगा जहा बहुत शांति है क्या तुम भी मेरे साथ चलोगे,मैं कल गाँव जाऊँगा जहाँ बहुत शांति है। क्या तुम भी मेरे साथ चलोगे?
मा ने कहा कि सुख और दुख को एक समान समझो तभी तुम खुश रहोगे,"माँ ने कहा कि सुख और दुख को एक समान समझो, तभी तुम खुश रहोगे।"
क्या तुम जानते हो कि रास्ता कहा बंद है में तो वहा से अभी आया हु,क्या तुम जानते हो कि रास्ता कहाँ बंद है? मैं तो वहाँ से अभी आया हूँ।
में और मा वहा कल जाएंगे जहा सब हमारा इंतज़ार कर रहे है,"मैं और माँ वहाँ कल जाएंगे, जहाँ सब हमारा इंतज़ार कर रहे हैं।"
क्या तुमने खाना खाया मा पूछ रही थी क्योंकि तुमने सुबह से कुछ नहीं लिया है,क्या तुमने खाना खाया? माँ पूछ रही थीं क्योंकि तुमने सुबह से कुछ नहीं लिया है।
में कल जब घर वापस आ रहा था तो देखा कि रास्ता बंद है क्या तुम जानते हो वहा क्या हुआ था में तो बहुत डर गया था पर मा ने कहा कि सब ठीक हो जाएगा और अब में घर पर हु,"मैं कल जब घर वापस आ रहा था तो देखा कि रास्ता बंद है। क्या तुम जानते हो वहाँ क्या हुआ था? मैं तो बहुत डर गया था, पर माँ ने कहा कि सब ठीक हो जाएगा और अब मैं घर पर हूँ।"
क्या तुम मेरे साथ चलोगे क्योंकि मुझे बाज़ार से मा के लिए दवाई लेनी है और वहा बहुत भीड़ होगी में चाहता हु कि कोई मेरे साथ रहे ताकि जल्दी काम हो जाए,क्या तुम मेरे साथ चलोगे? क्योंकि मुझे बाज़ार से माँ के लिए दवाई लेनी है और वहाँ बहुत भीड़ होगी। मैं चाहता हूँ कि कोई मेरे साथ रहे ताकि जल्दी काम हो जाए।
गाव में बहुत शांति है में वहा जाउगा,गाँव में बहुत शांति है। मैं वहाँ जाऊँगा।
जहा तुम खडे हो वहा फिसलन है क्या तुम देख सकते हो,जहाँ तुम खड़े हो वहाँ फिसलन है। क्या तुम देख सकते हो?
में बाजार जा रहा हु क्या तुम कुछ मगाओगे मा ने पूछा,मैं बाज़ार जा रहा हूँ। क्या तुम कुछ मँगाओगे? माँ ने पूछा।
कहा जा रहे हो जहा धूप बहुत तेज है,कहाँ जा रहे हो? जहाँ धूप बहुत तेज़ है।
में जानता हु कि तुम वहा नहीं जाओगे पर मा के लिए चलो,"मैं जानता हूँ कि तुम वहाँ नहीं जाओगे, पर माँ के लिए चलो।"
क्या तुमने देखा कि मा कहा गई है में तो वहा खडा था,क्या तुमने देखा कि माँ कहाँ गई हैं? मैं तो वहाँ खड़ा था।
भाई कहा हो तुम मा कब से तुम्हे ढूढ रही है,भाई! कहाँ हो तुम? माँ कब से तुम्हें ढूँढ रही हैं।
सुख दुख तो जीवन का हिस्सा है हमे बस चलते रहना चाहिए,सुख-दुख तो जीवन का हिस्सा हैं। हमें बस चलते रहना चाहिए।
जीवन में सुख और दुख का आना और जाना लगा रहता है,जीवन में सुख और दुख का आना-जाना लगा रहता है।
क्या तुम जानते हो कि में कहा हु रास्ता बहुत सुनसान है,क्या तुम जानते हो कि मैं कहाँ हूँ? रास्ता बहुत सुनसान है।
में धीरे धीरे चल रहा हु क्या तुम मेरे साथ चलोगे,मैं धीरे-धीरे चल रहा हूँ। क्या तुम मेरे साथ चलोगे?
हमे सही गलत का फर्क पता होना चाहिए क्या तुम मेरी बात समझ रहे हो,हमें सही-गलत का फर्क पता होना चाहिए। क्या तुम मेरी बात समझ रहे हो?
सही और गलत के बीच का रास्ता चुनना बहुत मुश्किल है,सही और गलत के बीच का रास्ता चुनना बहुत मुश्किल है।
में वहा तुम्हारे लिए रुका था पर तुम बहुत देर से आए,"मैं वहाँ तुम्हारे लिए रुका था, पर तुम बहुत देर से आए।"
क्या तुम जानते हो वहा क्या हुआ में तो बहुत डर गया था,क्या तुम जानते हो वहाँ क्या हुआ? मैं तो बहुत डर गया था।
आज सुबह जब में उठा तो मा ने कहा कि बाजार जाकर सब्जी ले आओ क्या तुम जानते हो वहा कितनी भीड थी में लाइन में खडा रहा और अब थक गया हु में बस सोना चाहता हु,आज सुबह जब मैं उठा तो माँ ने कहा कि बाज़ार जाकर सब्जी ले आओ। क्या तुम जानते हो वहाँ कितनी भीड़ थी? मैं लाइन में खड़ा रहा और अब थक गया हूँ। मैं बस सोना चाहता हूँ।
क्या तुमने कभी सोचा है कि सुख दुख इंसान को क्या सिखाते है में अक्सर खिडकी के पास बैठकर यही सोचता हु कि जीवन में सही गलत कुछ नहीं होता बस समय की बात है और हमे धीरज रखना चाहिए,क्या तुमने कभी सोचा है कि सुख-दुख इंसान को क्या सिखाते हैं? मैं अक्सर खिड़की के पास बैठकर यही सोचता हूँ कि जीवन में सही-गलत कुछ नहीं होता। बस समय की बात है और हमें धीरज रखना चाहिए।
मा ने कहा कि जल्दी घर आ जाना क्योंकि मेहमान आने वाले है मुझे बाजार में देर हो गई जहा बहुत भीड थी अब में सोच रहा हु कि मा को क्या जवाब दूगा क्या तुम मेरे साथ चलकर सफाई दोगे,माँ ने कहा कि जल्दी घर आ जाना क्योंकि मेहमान आने वाले हैं। मुझे बाज़ार में देर हो गई जहाँ बहुत भीड़ थी। अब मैं सोच रहा हूँ कि माँ को क्या जवाब दूँगा? क्या तुम मेरे साथ चलकर सफाई दोगे?
में कल गाव के मेले में जाउगा,मैं कल गाँव के मेले में जाऊँगा।
जहा धूप है वहा कपडे सुखा दो,जहाँ धूप है वहाँ कपड़े सुखा दो।
कहा लिखा है कि में यहा नहीं बैठ सकता,कहाँ लिखा है कि मैं यहाँ नहीं बैठ सकता?
मा रसोई में खाना बना रही है,माँ रसोई में खाना बना रही हैं।
गाव के लोग बहुत मेहनती होते है,गाँव के लोग बहुत मेहनती होते हैं।
में जानता हु कि तुम कहा नहीं छिप सकते हो,मैं जानता हूँ कि तुम कहाँ नहीं छिप सकते हो।
जहा रास्ता सही हो वहा ही हमे चलना चाहिए,जहाँ रास्ता सही हो वहाँ  ही हमें चलना चाहिए।
कहा गए थे तुम मा परेशान हो रही थी,कहाँ गए थे तुम? माँ परेशान हो रही थीं।
में और अनन्या की मा कल शहर जाएंगे,मैं और अनन्या की माँ कल शहर जाएंगे।
जहा शांति हो वहा मन लगता है,जहाँ शांति हो वहाँ मन लगता है।
उस गाव के लोग बहुत ही ज्यादा तग है,उस गाँव के लोग बहुत ही ज्यादा तंग हैं।
में बीच चौराहे परखडा था जहा सब देख रहे थे,मैं बीच चौराहे पर खड़ा था जहाँ सब देख रहे थे।
मा ने तो हम सभी को बहुत नाज़ों से पाला है,माँ ने तो हम सभी को बहुत नाज़ों से पाला है।
